VTX, IDX, in_ATTRIBUTE0.x, in_ATTRIBUTE0.y, in_ATTRIBUTE0.z, in_ATTRIBUTE1.x, in_ATTRIBUTE1.y, in_ATTRIBUTE1.z, in_ATTRIBUTE1.w, in_ATTRIBUTE2.x, in_ATTRIBUTE2.y, in_ATTRIBUTE2.z, in_ATTRIBUTE2.w, in_ATTRIBUTE4.x, in_ATTRIBUTE4.y, in_ATTRIBUTE8.x, in_ATTRIBUTE8.y, in_ATTRIBUTE8.z, in_ATTRIBUTE8.w, in_ATTRIBUTE9.x, in_ATTRIBUTE9.y, in_ATTRIBUTE9.z, in_ATTRIBUTE9.w, in_ATTRIBUTE10.x, in_ATTRIBUTE10.y, in_ATTRIBUTE10.z, in_ATTRIBUTE10.w, in_ATTRIBUTE11.x, in_ATTRIBUTE11.y, in_ATTRIBUTE11.z, in_ATTRIBUTE11.w
10, 4,  426.07486,  413.90344,  68.83507,  0.96063,  0.00787, -0.27559,  1.00,  0.25984, -0.33071,  0.90551,  1.00,  0.84668,  0.83691,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
11, 0,  448.49683,  430.4837,  78.21193,  1.00,  0.00, -0.08661,  1.00,  0.08661,  0.11811,  0.99213,  1.00,  0.86475,  0.8501,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
12, 0,  448.49683,  430.4837,  78.21193,  1.00,  0.00, -0.08661,  1.00,  0.08661,  0.11811,  0.99213,  1.00,  0.86475,  0.8501,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
13, 6,  469.24478,  395.15689,  61.22311,  0.95276,  0.00, -0.29921,  1.00,  0.26772, -0.40945,  0.87402,  1.00,  0.88184,  0.82129,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
14, 5,  440.0192,  387.75986,  60.52097,  0.90551,  0.00, -0.41732,  1.00,  0.41732, -0.15748,  0.89764,  1.00,  0.85791,  0.81543,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
15, 4,  426.07486,  413.90344,  68.83507,  0.96063,  0.00787, -0.27559,  1.00,  0.25984, -0.33071,  0.90551,  1.00,  0.84668,  0.83691,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
16, 7,  407.48035,  392.54471,  80.91342,  0.75591,  0.00, -0.65354,  1.00,  0.62992,  0.22835,  0.74016,  1.00,  0.83154,  0.81934,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
17, 3,  402.85226,  424.36588,  84.29991,  0.93701, -0.02362, -0.33858,  1.00,  0.31496,  0.44882,  0.83465,  1.00,  0.82764,  0.84521,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
18, 5,  440.0192,  387.75986,  60.52097,  0.90551,  0.00, -0.41732,  1.00,  0.41732, -0.15748,  0.89764,  1.00,  0.85791,  0.81543,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
19, 7,  407.48035,  392.54471,  80.91342,  0.75591,  0.00, -0.65354,  1.00,  0.62992,  0.22835,  0.74016,  1.00,  0.83154,  0.81934,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
20, 4,  426.07486,  413.90344,  68.83507,  0.96063,  0.00787, -0.27559,  1.00,  0.25984, -0.33071,  0.90551,  1.00,  0.84668,  0.83691,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
21, 8,  462.67584,  358.12411,  38.16887,  0.92126,  0.00, -0.37795,  1.00,  0.37795, -0.07874,  0.92126,  1.00,  0.87646,  0.7915,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
22, 5,  440.0192,  387.75986,  60.52097,  0.90551,  0.00, -0.41732,  1.00,  0.41732, -0.15748,  0.89764,  1.00,  0.85791,  0.81543,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
23, 6,  469.24478,  395.15689,  61.22311,  0.95276,  0.00, -0.29921,  1.00,  0.26772, -0.40945,  0.87402,  1.00,  0.88184,  0.82129,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
24, 7,  407.48035,  392.54471,  80.91342,  0.75591,  0.00, -0.65354,  1.00,  0.62992,  0.22835,  0.74016,  1.00,  0.83154,  0.81934,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
25, 9,  380.09818,  407.04205,  108.72468,  1.00, -0.02362, -0.05512,  1.00,  0.05512,  0.4252,  0.90551,  1.00,  0.80908,  0.83105,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
26, 3,  402.85226,  424.36588,  84.29991,  0.93701, -0.02362, -0.33858,  1.00,  0.31496,  0.44882,  0.83465,  1.00,  0.82764,  0.84521,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
27, 9,  380.09818,  407.04205,  108.72468,  1.00, -0.02362, -0.05512,  1.00,  0.05512,  0.4252,  0.90551,  1.00,  0.80908,  0.83105,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
28, 1,  377.67822,  465.5192,  37.45274,  0.99213,  0.00, -0.13386,  1.00,  0.11811,  0.48031,  0.86614,  1.00,  0.80713,  0.87891,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
29, 3,  402.85226,  424.36588,  84.29991,  0.93701, -0.02362, -0.33858,  1.00,  0.31496,  0.44882,  0.83465,  1.00,  0.82764,  0.84521,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
30, 5,  440.0192,  387.75986,  60.52097,  0.90551,  0.00, -0.41732,  1.00,  0.41732, -0.15748,  0.89764,  1.00,  0.85791,  0.81543,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
31, 10,  404.09488,  362.58038,  103.11033,  0.88976,  0.00, -0.45669,  1.00,  0.45669,  0.03937,  0.88976,  1.00,  0.82861,  0.79492,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
32, 7,  407.48035,  392.54471,  80.91342,  0.75591,  0.00, -0.65354,  1.00,  0.62992,  0.22835,  0.74016,  1.00,  0.83154,  0.81934,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
33, 10,  404.09488,  362.58038,  103.11033,  0.88976,  0.00, -0.45669,  1.00,  0.45669,  0.03937,  0.88976,  1.00,  0.82861,  0.79492,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
34, 9,  380.09818,  407.04205,  108.72468,  1.00, -0.02362, -0.05512,  1.00,  0.05512,  0.4252,  0.90551,  1.00,  0.80908,  0.83105,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
35, 7,  407.48035,  392.54471,  80.91342,  0.75591,  0.00, -0.65354,  1.00,  0.62992,  0.22835,  0.74016,  1.00,  0.83154,  0.81934,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
36, 8,  462.67584,  358.12411,  38.16887,  0.92126,  0.00, -0.37795,  1.00,  0.37795, -0.07874,  0.92126,  1.00,  0.87646,  0.7915,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
37, 10,  404.09488,  362.58038,  103.11033,  0.88976,  0.00, -0.45669,  1.00,  0.45669,  0.03937,  0.88976,  1.00,  0.82861,  0.79492,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
38, 5,  440.0192,  387.75986,  60.52097,  0.90551,  0.00, -0.41732,  1.00,  0.41732, -0.15748,  0.89764,  1.00,  0.85791,  0.81543,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
39, 9,  380.09818,  407.04205,  108.72468,  1.00, -0.02362, -0.05512,  1.00,  0.05512,  0.4252,  0.90551,  1.00,  0.80908,  0.83105,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
40, 11,  368.53339,  401.28174,  104.98507,  0.92913,  0.00,  0.3622,  1.00, -0.33858,  0.31496,  0.88189,  1.00,  0.7998,  0.82666,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
41, 1,  377.67822,  465.5192,  37.45274,  0.99213,  0.00, -0.13386,  1.00,  0.11811,  0.48031,  0.86614,  1.00,  0.80713,  0.87891,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
42, 11,  368.53339,  401.28174,  104.98507,  0.92913,  0.00,  0.3622,  1.00, -0.33858,  0.31496,  0.88189,  1.00,  0.7998,  0.82666,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
43, 12,  362.17703,  460.29449,  46.76658,  0.98425,  0.00787, -0.19685,  1.00,  0.14961,  0.62992,  0.76378,  1.00,  0.79443,  0.87451,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
44, 1,  377.67822,  465.5192,  37.45274,  0.99213,  0.00, -0.13386,  1.00,  0.11811,  0.48031,  0.86614,  1.00,  0.80713,  0.87891,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
45, 10,  404.09488,  362.58038,  103.11033,  0.88976,  0.00, -0.45669,  1.00,  0.45669,  0.03937,  0.88976,  1.00,  0.82861,  0.79492,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
46, 13,  369.02664,  374.77225,  106.48055,  1.00,  0.00,  0.04724,  1.00, -0.04724,  0.04724,  1.00,  1.00,  0.80029,  0.80469,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
47, 9,  380.09818,  407.04205,  108.72468,  1.00, -0.02362, -0.05512,  1.00,  0.05512,  0.4252,  0.90551,  1.00,  0.80908,  0.83105,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
48, 13,  369.02664,  374.77225,  106.48055,  1.00,  0.00,  0.04724,  1.00, -0.04724,  0.04724,  1.00,  1.00,  0.80029,  0.80469,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
49, 11,  368.53339,  401.28174,  104.98507,  0.92913,  0.00,  0.3622,  1.00, -0.33858,  0.31496,  0.88189,  1.00,  0.7998,  0.82666,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
50, 9,  380.09818,  407.04205,  108.72468,  1.00, -0.02362, -0.05512,  1.00,  0.05512,  0.4252,  0.90551,  1.00,  0.80908,  0.83105,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
51, 11,  368.53339,  401.28174,  104.98507,  0.92913,  0.00,  0.3622,  1.00, -0.33858,  0.31496,  0.88189,  1.00,  0.7998,  0.82666,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
52, 14,  351.7085,  426.95444,  86.51958,  0.98425,  0.0315,  0.15748,  1.00, -0.14173,  0.6063,  0.77953,  1.00,  0.78613,  0.84717,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
53, 12,  362.17703,  460.29449,  46.76658,  0.98425,  0.00787, -0.19685,  1.00,  0.14961,  0.62992,  0.76378,  1.00,  0.79443,  0.87451,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
54, 15,  318.29657,  473.32928,  33.6298,  0.85827,  0.00,  0.51969,  1.00, -0.46457,  0.45669,  0.76378,  1.00,  0.75879,  0.88525,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
55, 12,  362.17703,  460.29449,  46.76658,  0.98425,  0.00787, -0.19685,  1.00,  0.14961,  0.62992,  0.76378,  1.00,  0.79443,  0.87451,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
56, 14,  351.7085,  426.95444,  86.51958,  0.98425,  0.0315,  0.15748,  1.00, -0.14173,  0.6063,  0.77953,  1.00,  0.78613,  0.84717,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
57, 13,  369.02664,  374.77225,  106.48055,  1.00,  0.00,  0.04724,  1.00, -0.04724,  0.04724,  1.00,  1.00,  0.80029,  0.80469,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
58, 16,  327.47433,  393.73541,  90.75936,  0.95276,  0.00,  0.29921,  1.00, -0.27559,  0.3622,  0.88976,  1.00,  0.7666,  0.82031,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
59, 11,  368.53339,  401.28174,  104.98507,  0.92913,  0.00,  0.3622,  1.00, -0.33858,  0.31496,  0.88189,  1.00,  0.7998,  0.82666,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
60, 16,  327.47433,  393.73541,  90.75936,  0.95276,  0.00,  0.29921,  1.00, -0.27559,  0.3622,  0.88976,  1.00,  0.7666,  0.82031,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
61, 14,  351.7085,  426.95444,  86.51958,  0.98425,  0.0315,  0.15748,  1.00, -0.14173,  0.6063,  0.77953,  1.00,  0.78613,  0.84717,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
62, 11,  368.53339,  401.28174,  104.98507,  0.92913,  0.00,  0.3622,  1.00, -0.33858,  0.31496,  0.88189,  1.00,  0.7998,  0.82666,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
63, 14,  351.7085,  426.95444,  86.51958,  0.98425,  0.0315,  0.15748,  1.00, -0.14173,  0.6063,  0.77953,  1.00,  0.78613,  0.84717,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
64, 17,  300.98813,  452.94644,  44.71407,  0.87402,  0.00,  0.48819,  1.00, -0.34646,  0.70866,  0.61417,  1.00,  0.74463,  0.86865,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
65, 15,  318.29657,  473.32928,  33.6298,  0.85827,  0.00,  0.51969,  1.00, -0.46457,  0.45669,  0.76378,  1.00,  0.75879,  0.88525,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
66, 17,  300.98813,  452.94644,  44.71407,  0.87402,  0.00,  0.48819,  1.00, -0.34646,  0.70866,  0.61417,  1.00,  0.74463,  0.86865,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
67, 18,  301.22748,  465.20139,  21.60954,  0.97638, -0.04724,  0.2126,  1.00, -0.15748,  0.55118,  0.8189,  1.00,  0.74512,  0.87842,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
68, 15,  318.29657,  473.32928,  33.6298,  0.85827,  0.00,  0.51969,  1.00, -0.46457,  0.45669,  0.76378,  1.00,  0.75879,  0.88525,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
69, 17,  300.98813,  452.94644,  44.71407,  0.87402,  0.00,  0.48819,  1.00, -0.34646,  0.70866,  0.61417,  1.00,  0.74463,  0.86865,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
70, 19,  275.2699,  442.43573,  43.66816,  0.94488, -0.00787,  0.33858,  1.00, -0.27559,  0.56693,  0.77165,  1.00,  0.72412,  0.85986,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
71, 18,  301.22748,  465.20139,  21.60954,  0.97638, -0.04724,  0.2126,  1.00, -0.15748,  0.55118,  0.8189,  1.00,  0.74512,  0.87842,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
72, 20,  333.32013,  422.92813,  69.36549,  0.91339,  0.0315,  0.40945,  1.00, -0.38583,  0.38583,  0.83465,  1.00,  0.771,  0.84424,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
73, 17,  300.98813,  452.94644,  44.71407,  0.87402,  0.00,  0.48819,  1.00, -0.34646,  0.70866,  0.61417,  1.00,  0.74463,  0.86865,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
74, 14,  351.7085,  426.95444,  86.51958,  0.98425,  0.0315,  0.15748,  1.00, -0.14173,  0.6063,  0.77953,  1.00,  0.78613,  0.84717,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
75, 16,  327.47433,  393.73541,  90.75936,  0.95276,  0.00,  0.29921,  1.00, -0.27559,  0.3622,  0.88976,  1.00,  0.7666,  0.82031,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
76, 20,  333.32013,  422.92813,  69.36549,  0.91339,  0.0315,  0.40945,  1.00, -0.38583,  0.38583,  0.83465,  1.00,  0.771,  0.84424,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
