VTX, IDX, in_ATTRIBUTE0.x, in_ATTRIBUTE0.y, in_ATTRIBUTE0.z, in_ATTRIBUTE1.x, in_ATTRIBUTE1.y, in_ATTRIBUTE1.z, in_ATTRIBUTE1.w, in_ATTRIBUTE2.x, in_ATTRIBUTE2.y, in_ATTRIBUTE2.z, in_ATTRIBUTE2.w, in_ATTRIBUTE3.x, in_ATTRIBUTE3.y, in_ATTRIBUTE3.z, in_ATTRIBUTE3.w, in_ATTRIBUTE4.x, in_ATTRIBUTE4.y, in_ATTRIBUTE4.z, in_ATTRIBUTE4.w, in_ATTRIBUTE5.x, in_ATTRIBUTE5.y, in_ATTRIBUTE13.x, in_ATTRIBUTE13.y, in_ATTRIBUTE13.z, in_ATTRIBUTE13.w
12, 11000,  0.03578, -6.86142,  155.77823,  0.9451,  0.36078,  0.68235,  0.50196,  0.49804,  0.09804,  0.20,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.57031,  1.00,  1.00,  1.00,  1.00
13, 10993,  0.03578, -5.73405,  153.80447,  0.99216,  0.47451,  0.55686,  0.50196,  0.49804,  0.03529,  0.3098,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.5918,  0.76709,  1.00,  1.00,  1.00,  1.00
14, 10999, -1.21699, -5.2597,  153.39204,  0.9451,  0.32941,  0.64706,  0.50196,  0.38431,  0.04314,  0.32549,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.80518,  0.76709,  1.00,  1.00,  1.00,  1.00
15, 10999, -1.21699, -5.2597,  153.39204,  0.9451,  0.32941,  0.64706,  0.50196,  0.38431,  0.04314,  0.32549,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.80518,  0.76709,  1.00,  1.00,  1.00,  1.00
16, 11001, -1.70001, -6.22134,  155.21584,  0.94118,  0.31373,  0.64314,  0.50196,  0.41961,  0.0902,  0.21961,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.56543,  1.00,  1.00,  1.00,  1.00
17, 11000,  0.03578, -6.86142,  155.77823,  0.9451,  0.36078,  0.68235,  0.50196,  0.49804,  0.09804,  0.20,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.57031,  1.00,  1.00,  1.00,  1.00
18, 11002,  0.03578, -7.96301,  157.07692,  0.94902,  0.37647,  0.68235,  0.50196,  0.49804,  0.08235,  0.21961,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.46436,  1.00,  1.00,  1.00,  1.00
19, 11000,  0.03578, -6.86142,  155.77823,  0.9451,  0.36078,  0.68235,  0.50196,  0.49804,  0.09804,  0.20,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.57031,  1.00,  1.00,  1.00,  1.00
20, 11001, -1.70001, -6.22134,  155.21584,  0.94118,  0.31373,  0.64314,  0.50196,  0.41961,  0.0902,  0.21961,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.56543,  1.00,  1.00,  1.00,  1.00
21, 11001, -1.70001, -6.22134,  155.21584,  0.94118,  0.31373,  0.64314,  0.50196,  0.41961,  0.0902,  0.21961,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.56543,  1.00,  1.00,  1.00,  1.00
22, 11003, -1.88106, -7.16303,  156.52101,  0.9451,  0.32157,  0.62745,  0.50196,  0.41176,  0.08627,  0.23137,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.46436,  1.00,  1.00,  1.00,  1.00
23, 11002,  0.03578, -7.96301,  157.07692,  0.94902,  0.37647,  0.68235,  0.50196,  0.49804,  0.08235,  0.21961,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.46436,  1.00,  1.00,  1.00,  1.00
24, 11004,  0.03578, -8.52243,  157.99721,  0.96863,  0.4549,  0.66667,  0.50196,  0.49804,  0.01569,  0.36863,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.38403,  1.00,  1.00,  1.00,  1.00
25, 11002,  0.03578, -7.96301,  157.07692,  0.94902,  0.37647,  0.68235,  0.50196,  0.49804,  0.08235,  0.21961,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.46436,  1.00,  1.00,  1.00,  1.00
26, 11003, -1.88106, -7.16303,  156.52101,  0.9451,  0.32157,  0.62745,  0.50196,  0.41176,  0.08627,  0.23137,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.46436,  1.00,  1.00,  1.00,  1.00
27, 11003, -1.88106, -7.16303,  156.52101,  0.9451,  0.32157,  0.62745,  0.50196,  0.41176,  0.08627,  0.23137,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.46436,  1.00,  1.00,  1.00,  1.00
28, 11005, -1.94533, -7.66581,  157.4895,  0.9451,  0.32157,  0.64314,  0.50196,  0.36863,  0.03922,  0.3451,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.38403,  1.00,  1.00,  1.00,  1.00
29, 11004,  0.03578, -8.52243,  157.99721,  0.96863,  0.4549,  0.66667,  0.50196,  0.49804,  0.01569,  0.36863,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.38403,  1.00,  1.00,  1.00,  1.00
30, 11006,  0.03578, -8.67391,  159.85704,  0.96471,  0.49412,  0.67843,  0.50196,  0.49804,  0.00,  0.4902,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.28369,  1.00,  1.00,  1.00,  1.00
31, 11004,  0.03578, -8.52243,  157.99721,  0.96863,  0.4549,  0.66667,  0.50196,  0.49804,  0.01569,  0.36863,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.38403,  1.00,  1.00,  1.00,  1.00
32, 11005, -1.94533, -7.66581,  157.4895,  0.9451,  0.32157,  0.64314,  0.50196,  0.36863,  0.03922,  0.3451,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.38403,  1.00,  1.00,  1.00,  1.00
33, 11005, -1.94533, -7.66581,  157.4895,  0.9451,  0.32157,  0.64314,  0.50196,  0.36863,  0.03922,  0.3451,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.38403,  1.00,  1.00,  1.00,  1.00
34, 11007, -1.96514, -7.88522,  158.95412,  0.9451,  0.33725,  0.65098,  0.50196,  0.34118,  0.02353,  0.45882,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.28369,  1.00,  1.00,  1.00,  1.00
35, 11006,  0.03578, -8.67391,  159.85704,  0.96471,  0.49412,  0.67843,  0.50196,  0.49804,  0.00,  0.4902,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.28369,  1.00,  1.00,  1.00,  1.00
36, 11008,  0.03577, -8.61011,  161.37833,  0.98431,  0.49804,  0.61569,  0.50196,  0.49804,  0.00,  0.50196,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.15149,  1.00,  1.00,  1.00,  1.00
37, 11006,  0.03578, -8.67391,  159.85704,  0.96471,  0.49412,  0.67843,  0.50196,  0.49804,  0.00,  0.4902,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.28369,  1.00,  1.00,  1.00,  1.00
38, 11007, -1.96514, -7.88522,  158.95412,  0.9451,  0.33725,  0.65098,  0.50196,  0.34118,  0.02353,  0.45882,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.28369,  1.00,  1.00,  1.00,  1.00
39, 11007, -1.96514, -7.88522,  158.95412,  0.9451,  0.33725,  0.65098,  0.50196,  0.34118,  0.02353,  0.45882,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.28369,  1.00,  1.00,  1.00,  1.00
40, 11009, -2.05222, -7.9277,  161.06816,  0.96471,  0.32549,  0.54902,  0.50196,  0.32549,  0.03137,  0.5098,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.15149,  1.00,  1.00,  1.00,  1.00
41, 11008,  0.03577, -8.61011,  161.37833,  0.98431,  0.49804,  0.61569,  0.50196,  0.49804,  0.00,  0.50196,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.15149,  1.00,  1.00,  1.00,  1.00
42, 11010,  0.03577, -8.59168,  163.79984,  0.99608,  0.49804,  0.52941,  0.50196,  0.49804,  0.00,  0.52549,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.02168,  1.00,  1.00,  1.00,  1.00
43, 11008,  0.03577, -8.61011,  161.37833,  0.98431,  0.49804,  0.61569,  0.50196,  0.49804,  0.00,  0.50196,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.15149,  1.00,  1.00,  1.00,  1.00
44, 11009, -2.05222, -7.9277,  161.06816,  0.96471,  0.32549,  0.54902,  0.50196,  0.32549,  0.03137,  0.5098,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.15149,  1.00,  1.00,  1.00,  1.00
45, 11009, -2.05222, -7.9277,  161.06816,  0.96471,  0.32549,  0.54902,  0.50196,  0.32549,  0.03137,  0.5098,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.15149,  1.00,  1.00,  1.00,  1.00
46, 11011, -2.38304, -7.54441,  163.75146,  0.97255,  0.33333,  0.50588,  0.50196,  0.33333,  0.02745,  0.51765,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.02168,  1.00,  1.00,  1.00,  1.00
47, 11010,  0.03577, -8.59168,  163.79984,  0.99608,  0.49804,  0.52941,  0.50196,  0.49804,  0.00,  0.52549,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.02168,  1.00,  1.00,  1.00,  1.00
48, 11012,  0.03578, -5.73405,  153.80447,  0.00392,  0.47451,  0.55686,  0.50196,  0.49804,  0.03529,  0.3098,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.5918,  0.76709,  1.00,  1.00,  1.00,  1.00
49, 11013,  0.03578, -5.73368,  153.80115,  0.22745,  0.5451,  0.07843,  0.50196,  0.49804,  0.00,  0.44314,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.59375,  0.76807,  1.00,  1.00,  1.00,  1.00
50, 11014, -0.4334, -5.43039,  152.7861,  0.23922,  0.66275,  0.10196,  0.50196,  0.28627,  0.04706,  0.44706,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.61914,  0.87402,  1.00,  1.00,  1.00,  1.00
51, 11015,  1.2271, -5.05697,  152.48547,  0.06667,  0.2902,  0.63922,  0.50196,  0.71765,  0.04706,  0.49412,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.76172,  0.88086,  1.00,  1.00,  1.00,  1.00
52, 11016,  0.50495, -5.43039,  152.7861,  0.07059,  0.27843,  0.63922,  0.50196,  0.72157,  0.05098,  0.48235,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.61914,  0.87402,  1.00,  1.00,  1.00,  1.00
53, 11012,  0.03578, -5.73405,  153.80447,  0.00392,  0.47451,  0.55686,  0.50196,  0.49804,  0.03529,  0.3098,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.5918,  0.76709,  1.00,  1.00,  1.00,  1.00
54, 11016,  0.50495, -5.43039,  152.7861,  0.07059,  0.27843,  0.63922,  0.50196,  0.72157,  0.05098,  0.48235,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.61914,  0.87402,  1.00,  1.00,  1.00,  1.00
55, 11015,  1.2271, -5.05697,  152.48547,  0.06667,  0.2902,  0.63922,  0.50196,  0.71765,  0.04706,  0.49412,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.76172,  0.88086,  1.00,  1.00,  1.00,  1.00
56, 11017,  1.24953, -5.17159,  151.39577,  0.07059,  0.27451,  0.63137,  0.50196,  0.74118,  0.06667,  0.54902,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.69287,  0.98047,  1.00,  1.00,  1.00,  1.00
57, 11012,  0.03578, -5.73405,  153.80447,  0.00392,  0.47451,  0.55686,  0.50196,  0.49804,  0.03529,  0.3098,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.5918,  0.76709,  1.00,  1.00,  1.00,  1.00
58, 11018,  1.28854, -5.2597,  153.39204,  0.05098,  0.32941,  0.64706,  0.50196,  0.61176,  0.04314,  0.32549,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.80518,  0.76709,  1.00,  1.00,  1.00,  1.00
59, 11015,  1.2271, -5.05697,  152.48547,  0.06667,  0.2902,  0.63922,  0.50196,  0.71765,  0.04706,  0.49412,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.76172,  0.88086,  1.00,  1.00,  1.00,  1.00
60, 11018,  1.28854, -5.2597,  153.39204,  0.05098,  0.32941,  0.64706,  0.50196,  0.61176,  0.04314,  0.32549,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.80518,  0.76709,  1.00,  1.00,  1.00,  1.00
61, 11012,  0.03578, -5.73405,  153.80447,  0.00392,  0.47451,  0.55686,  0.50196,  0.49804,  0.03529,  0.3098,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.5918,  0.76709,  1.00,  1.00,  1.00,  1.00
62, 11019,  0.03578, -6.86142,  155.77823,  0.05098,  0.36078,  0.68235,  0.50196,  0.49804,  0.09804,  0.20,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.57031,  1.00,  1.00,  1.00,  1.00
63, 11019,  0.03578, -6.86142,  155.77823,  0.05098,  0.36078,  0.68235,  0.50196,  0.49804,  0.09804,  0.20,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.57031,  1.00,  1.00,  1.00,  1.00
64, 11020,  1.77157, -6.22134,  155.21584,  0.0549,  0.32157,  0.64706,  0.50196,  0.56863,  0.0902,  0.21961,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.56543,  1.00,  1.00,  1.00,  1.00
65, 11018,  1.28854, -5.2597,  153.39204,  0.05098,  0.32941,  0.64706,  0.50196,  0.61176,  0.04314,  0.32549,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.80518,  0.76709,  1.00,  1.00,  1.00,  1.00
66, 11020,  1.77157, -6.22134,  155.21584,  0.0549,  0.32157,  0.64706,  0.50196,  0.56863,  0.0902,  0.21961,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.56543,  1.00,  1.00,  1.00,  1.00
67, 11019,  0.03578, -6.86142,  155.77823,  0.05098,  0.36078,  0.68235,  0.50196,  0.49804,  0.09804,  0.20,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.57031,  1.00,  1.00,  1.00,  1.00
68, 11021,  0.03578, -7.96301,  157.07692,  0.04706,  0.37647,  0.68235,  0.50196,  0.49804,  0.08235,  0.21961,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.46436,  1.00,  1.00,  1.00,  1.00
69, 11021,  0.03578, -7.96301,  157.07692,  0.04706,  0.37647,  0.68235,  0.50196,  0.49804,  0.08235,  0.21961,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.46436,  1.00,  1.00,  1.00,  1.00
70, 11022,  1.95261, -7.16303,  156.52101,  0.05098,  0.32157,  0.63137,  0.50196,  0.58431,  0.08235,  0.23137,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.46436,  1.00,  1.00,  1.00,  1.00
71, 11020,  1.77157, -6.22134,  155.21584,  0.0549,  0.32157,  0.64706,  0.50196,  0.56863,  0.0902,  0.21961,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.56543,  1.00,  1.00,  1.00,  1.00
72, 11022,  1.95261, -7.16303,  156.52101,  0.05098,  0.32157,  0.63137,  0.50196,  0.58431,  0.08235,  0.23137,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.46436,  1.00,  1.00,  1.00,  1.00
73, 11021,  0.03578, -7.96301,  157.07692,  0.04706,  0.37647,  0.68235,  0.50196,  0.49804,  0.08235,  0.21961,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.46436,  1.00,  1.00,  1.00,  1.00
74, 11023,  0.03578, -8.52243,  157.99721,  0.02745,  0.4549,  0.66667,  0.50196,  0.49804,  0.01569,  0.36863,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.38403,  1.00,  1.00,  1.00,  1.00
75, 11023,  0.03578, -8.52243,  157.99721,  0.02745,  0.4549,  0.66667,  0.50196,  0.49804,  0.01569,  0.36863,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.38403,  1.00,  1.00,  1.00,  1.00
76, 11024,  2.01688, -7.66581,  157.4895,  0.05098,  0.32157,  0.64314,  0.50196,  0.62745,  0.03922,  0.3451,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.38403,  1.00,  1.00,  1.00,  1.00
77, 11022,  1.95261, -7.16303,  156.52101,  0.05098,  0.32157,  0.63137,  0.50196,  0.58431,  0.08235,  0.23137,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.46436,  1.00,  1.00,  1.00,  1.00
78, 11024,  2.01688, -7.66581,  157.4895,  0.05098,  0.32157,  0.64314,  0.50196,  0.62745,  0.03922,  0.3451,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.38403,  1.00,  1.00,  1.00,  1.00
79, 11023,  0.03578, -8.52243,  157.99721,  0.02745,  0.4549,  0.66667,  0.50196,  0.49804,  0.01569,  0.36863,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.38403,  1.00,  1.00,  1.00,  1.00
80, 11025,  0.03578, -8.67391,  159.85704,  0.03137,  0.49412,  0.67843,  0.50196,  0.49804,  0.00,  0.4902,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.28369,  1.00,  1.00,  1.00,  1.00
81, 11025,  0.03578, -8.67391,  159.85704,  0.03137,  0.49412,  0.67843,  0.50196,  0.49804,  0.00,  0.4902,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.28369,  1.00,  1.00,  1.00,  1.00
82, 11026,  2.03669, -7.88523,  158.95412,  0.05098,  0.33725,  0.65098,  0.50196,  0.6549,  0.02353,  0.45882,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.28369,  1.00,  1.00,  1.00,  1.00
83, 11024,  2.01688, -7.66581,  157.4895,  0.05098,  0.32157,  0.64314,  0.50196,  0.62745,  0.03922,  0.3451,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.38403,  1.00,  1.00,  1.00,  1.00
84, 11026,  2.03669, -7.88523,  158.95412,  0.05098,  0.33725,  0.65098,  0.50196,  0.6549,  0.02353,  0.45882,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.28369,  1.00,  1.00,  1.00,  1.00
85, 11025,  0.03578, -8.67391,  159.85704,  0.03137,  0.49412,  0.67843,  0.50196,  0.49804,  0.00,  0.4902,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.28369,  1.00,  1.00,  1.00,  1.00
86, 11027,  0.03577, -8.61011,  161.37833,  0.01176,  0.49804,  0.61569,  0.50196,  0.49804,  0.00,  0.50196,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.15149,  1.00,  1.00,  1.00,  1.00
87, 11027,  0.03577, -8.61011,  161.37833,  0.01176,  0.49804,  0.61569,  0.50196,  0.49804,  0.00,  0.50196,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.15149,  1.00,  1.00,  1.00,  1.00
88, 11028,  2.12376, -7.9277,  161.06816,  0.03137,  0.32549,  0.54902,  0.50196,  0.67059,  0.03137,  0.5098,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.15149,  1.00,  1.00,  1.00,  1.00
89, 11026,  2.03669, -7.88523,  158.95412,  0.05098,  0.33725,  0.65098,  0.50196,  0.6549,  0.02353,  0.45882,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.28369,  1.00,  1.00,  1.00,  1.00
90, 11028,  2.12376, -7.9277,  161.06816,  0.03137,  0.32549,  0.54902,  0.50196,  0.67059,  0.03137,  0.5098,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.15149,  1.00,  1.00,  1.00,  1.00
91, 11027,  0.03577, -8.61011,  161.37833,  0.01176,  0.49804,  0.61569,  0.50196,  0.49804,  0.00,  0.50196,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.15149,  1.00,  1.00,  1.00,  1.00
92, 11029,  0.03577, -8.59168,  163.79984,  0.00,  0.49804,  0.52941,  0.50196,  0.49804,  0.00,  0.52549,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.02168,  1.00,  1.00,  1.00,  1.00
93, 11029,  0.03577, -8.59168,  163.79984,  0.00,  0.49804,  0.52941,  0.50196,  0.49804,  0.00,  0.52549,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.56152,  0.02168,  1.00,  1.00,  1.00,  1.00
94, 11030,  2.45458, -7.54441,  163.75146,  0.02353,  0.33333,  0.50588,  0.50196,  0.66275,  0.02745,  0.51765,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.02168,  1.00,  1.00,  1.00,  1.00
95, 11028,  2.12376, -7.9277,  161.06816,  0.03137,  0.32549,  0.54902,  0.50196,  0.67059,  0.03137,  0.5098,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.82617,  0.15149,  1.00,  1.00,  1.00,  1.00
96, 11031, -5.90655,  9.72984,  158.11252,  0.70196,  0.8902,  0.25882,  0.50196,  0.04706,  0.70588,  0.45882,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.78223,  0.26367,  1.00,  1.00,  1.00,  1.00
97, 11032, -5.87396,  9.89088,  158.57703,  0.70196,  0.8902,  0.25882,  0.50196,  0.05882,  0.73333,  0.5098,  1.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.80469,  0.22156,  1.00,  1.00,  1.00,  1.00
