VTX, IDX, in_ATTRIBUTE0.x, in_ATTRIBUTE0.y, in_ATTRIBUTE0.z, in_ATTRIBUTE3.x, in_ATTRIBUTE3.y, in_ATTRIBUTE3.z, in_ATTRIBUTE3.w, in_ATTRIBUTE4.x, in_ATTRIBUTE4.y, in_ATTRIBUTE4.z, in_ATTRIBUTE4.w
29, 29,  2.92923,  6.28672,  139.94376, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
30, 30,  3.75833,  6.64264,  139.14987, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
31, 31,  2.92923,  6.28672,  139.94376, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
32, 32,  2.92923,  6.56817,  139.93494, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
33, 33,  2.92923,  6.56817,  139.93494, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
34, 34,  3.75833,  6.93593,  139.14821, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
35, 35,  3.75833,  6.64264,  139.14987, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
36, 36,  4.46655,  7.15132,  138.18437, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
37, 37,  3.75833,  6.64264,  139.14987, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
38, 38,  3.75833,  6.93593,  139.14821, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
39, 39,  3.75833,  6.93593,  139.14821, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
40, 40,  4.46655,  7.45896,  138.19272, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
41, 41,  4.46655,  7.15132,  138.18437, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
42, 42,  6.31718,  8.65077,  135.5052, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
43, 43,  4.46655,  7.15132,  138.18437, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
44, 44,  4.46655,  7.45896,  138.19272, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
45, 45,  4.46655,  7.45896,  138.19272, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
46, 46,  6.15233,  8.85467,  135.71239, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
47, 47,  6.31718,  8.65077,  135.5052, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
48, 48,  2.85604,  8.08665,  137.46393, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
49, 49,  3.25483,  7.8672,  137.5183, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
50, 50,  3.25483,  8.0215,  137.87292, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
51, 51,  3.25483,  8.0215,  137.87292, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
52, 52,  2.81266,  8.24653,  137.80547, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
53, 53,  2.85604,  8.08665,  137.46393, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
54, 54,  3.60158,  7.81605,  137.3766, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
55, 55,  4.02178,  7.98858,  136.97301, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
56, 56,  4.14636,  8.15455,  137.31032, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
57, 57,  4.14636,  8.15455,  137.31032, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
58, 58,  3.70623,  7.98333,  137.7132, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
59, 59,  3.60158,  7.81605,  137.3766, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
60, 60,  4.02178,  7.98858,  136.97301, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
61, 61,  5.37132,  9.13242,  135.21765, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
62, 62,  5.45769,  9.27814,  135.57205, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
63, 63,  5.45769,  9.27814,  135.57205, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
64, 64,  4.14636,  8.15455,  137.31032, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
65, 65,  4.02178,  7.98858,  136.97301, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
66, 66,  3.25483,  7.8672,  137.5183, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
67, 67,  3.60158,  7.81605,  137.3766, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
68, 68,  3.70623,  7.98333,  137.7132, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
69, 69,  3.70623,  7.98333,  137.7132, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
70, 70,  3.25483,  8.0215,  137.87292, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
71, 71,  3.25483,  7.8672,  137.5183, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
72, 72,  2.85604,  8.08665,  137.46393, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
73, 73,  2.81266,  8.24653,  137.80547, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
74, 74,  3.1839,  8.46621,  137.29849, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
75, 75,  1.01799,  5.87969,  140.97118, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
76, 76, -0.00002,  5.7533,  141.36612, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
77, 77, -0.00002,  6.01352,  141.34599, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
78, 78, -0.00002,  6.01352,  141.34599, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
79, 79,  1.01799,  6.14583,  140.95378, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
80, 80,  1.01799,  5.87969,  140.97118, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
81, 81, -2.00593,  6.05723,  140.53316, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
82, 82, -2.00593,  6.32985,  140.51956, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
83, 83, -1.01803,  6.14583,  140.95378, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
84, 84, -1.01803,  6.14583,  140.95378, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
85, 85, -1.01803,  5.87968,  140.97118, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
86, 86, -2.00593,  6.05723,  140.53316, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
87, 87, -2.92927,  6.28672,  139.94376, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
88, 88, -2.92927,  6.56816,  139.93494, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
89, 89, -2.00593,  6.32985,  140.51956, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
90, 90, -2.00593,  6.32985,  140.51956, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
91, 91, -2.00593,  6.05723,  140.53316, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
92, 92, -2.92927,  6.28672,  139.94376, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
93, 93, -3.75837,  6.64264,  139.14987, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
94, 94, -3.75837,  6.93593,  139.14821, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
95, 95, -2.92927,  6.56816,  139.93494, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
96, 96, -2.92927,  6.56816,  139.93494, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
97, 97, -2.92927,  6.28672,  139.94376, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
98, 98, -3.75837,  6.64264,  139.14987, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
99, 99, -4.46659,  7.15132,  138.18437, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
100, 100, -4.46659,  7.45896,  138.19272, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
101, 101, -3.75837,  6.93593,  139.14821, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
102, 102, -3.75837,  6.93593,  139.14821, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
103, 103, -3.75837,  6.64264,  139.14987, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
104, 104, -4.46659,  7.15132,  138.18437, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
105, 105, -6.31723,  8.65076,  135.5052, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
106, 106, -6.15237,  8.85466,  135.71239, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
107, 107, -4.46659,  7.45896,  138.19272, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
108, 108, -4.46659,  7.45896,  138.19272, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
109, 109, -4.46659,  7.15132,  138.18437, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
110, 110, -6.31723,  8.65076,  135.5052, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
111, 111, -2.85608,  8.08665,  137.46393, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
112, 112, -2.8127,  8.24652,  137.80547, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
113, 113, -3.25488,  8.0215,  137.87292, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
114, 114, -3.25488,  8.0215,  137.87292, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
115, 115, -3.25488,  7.8672,  137.5183, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
116, 116, -2.85608,  8.08665,  137.46393, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
117, 117, -3.60162,  7.81605,  137.3766, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
118, 118, -3.70628,  7.98333,  137.7132, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
119, 119, -4.1464,  8.15455,  137.31032, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
120, 120, -4.1464,  8.15455,  137.31032, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
121, 121, -4.02182,  7.98858,  136.97301, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
122, 122, -3.60162,  7.81605,  137.3766, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
123, 123, -4.02182,  7.98858,  136.97301, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
124, 124, -4.1464,  8.15455,  137.31032, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
125, 125, -5.45773,  9.27814,  135.57205, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
126, 126, -5.45773,  9.27814,  135.57205, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
127, 127, -5.37136,  9.13241,  135.21765, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
128, 128, -4.02182,  7.98858,  136.97301, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
129, 129, -3.25488,  7.8672,  137.5183, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
130, 130, -3.25488,  8.0215,  137.87292, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
131, 131, -3.70628,  7.98333,  137.7132, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
132, 132, -3.70628,  7.98333,  137.7132, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
133, 133, -3.60162,  7.81605,  137.3766, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
134, 134, -3.25488,  7.8672,  137.5183, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
135, 135, -2.85608,  8.08665,  137.46393, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
136, 136, -3.18394,  8.46621,  137.29849, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
137, 137, -2.8127,  8.24652,  137.80547, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
138, 138, -1.01803,  5.87968,  140.97118, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
139, 139, -1.01803,  6.14583,  140.95378, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
140, 140, -0.00002,  6.01352,  141.34599, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
141, 141, -0.00002,  6.01352,  141.34599, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
142, 142, -0.00002,  5.7533,  141.36612, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
143, 143, -1.01803,  5.87968,  140.97118, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
144, 144,  3.96893,  9.7682,  136.25168, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
145, 145,  3.96893,  10.04929,  135.20551, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
146, 146,  6.55689,  9.39348,  135.91478, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
147, 147,  3.96893,  8.78859,  136.64545, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
148, 148,  3.96893,  9.7682,  136.25168, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
149, 149,  6.55689,  9.39348,  135.91478, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
150, 150, -3.96897,  9.7682,  136.25168, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
151, 151, -6.55693,  9.39347,  135.91478, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
152, 152, -3.96897,  10.04928,  135.20551, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
153, 153, -3.96897,  8.78859,  136.64545, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
154, 154, -6.55693,  9.39347,  135.91478, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
155, 155, -3.96897,  9.7682,  136.25168, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
156, 156,  7.66209, -24.89023,  62.73383, 17, 18, 16, 19,  0.47451,  0.36863,  0.09412,  0.06275
157, 157,  8.56242, -24.63193,  63.15247, 17, 18, 16, 19,  0.47059,  0.36078,  0.09804,  0.07059
158, 158,  8.93288, -27.34603,  56.49759, 17, 18, 16, 20,  0.51765,  0.29412,  0.11765,  0.07059
159, 159,  8.93288, -27.34603,  56.49759, 17, 18, 16, 20,  0.51765,  0.29412,  0.11765,  0.07059
160, 160,  8.02659, -27.63467,  56.01704, 17, 18, 16, 20,  0.51765,  0.29804,  0.1098,  0.07451
161, 161,  7.66209, -24.89023,  62.73383, 17, 18, 16, 19,  0.47451,  0.36863,  0.09412,  0.06275
162, 162,  6.18464, -25.24485,  62.01306, 17, 18, 16, 19,  0.48235,  0.39608,  0.07451,  0.04706
163, 163,  7.08497, -24.98654,  62.43169, 17, 18, 16, 19,  0.48235,  0.38431,  0.08235,  0.05098
164, 164,  7.44687, -27.74767,  55.674, 17, 18, 16, 20,  0.51373,  0.30588,  0.09804,  0.08235
165, 165,  7.44687, -27.74767,  55.674, 17, 18, 16, 20,  0.51373,  0.30588,  0.09804,  0.08235
166, 166,  6.54058, -28.03629,  55.19344, 17, 18, 16, 20,  0.51373,  0.3098,  0.0902,  0.08627
167, 167,  6.18464, -25.24485,  62.01306, 17, 18, 16, 19,  0.48235,  0.39608,  0.07451,  0.04706
168, 168,  4.70719, -25.59945,  61.29225, 17, 18, 16, 19,  0.4902,  0.41961,  0.05882,  0.03137
169, 169,  5.60752, -25.34115,  61.7109, 17, 18, 16, 19,  0.4902,  0.41176,  0.06275,  0.03529
170, 170,  5.73954, -28.14929,  54.8504, 17, 18, 20, 16,  0.5098,  0.32157,  0.09412,  0.07451
171, 171,  5.73954, -28.14929,  54.8504, 17, 18, 20, 16,  0.5098,  0.32157,  0.09412,  0.07451
172, 172,  4.83325, -28.43793,  54.36985, 17, 18, 20, 16,  0.51373,  0.32549,  0.09412,  0.06667
173, 173,  4.70719, -25.59945,  61.29225, 17, 18, 16, 19,  0.4902,  0.41961,  0.05882,  0.03137
174, 174,  3.22974, -25.95406,  60.57148, 17, 18, 16, 19,  0.50196,  0.44706,  0.03922,  0.01176
175, 175,  4.13007, -25.69577,  60.99011, 17, 18, 16, 19,  0.49412,  0.43922,  0.04706,  0.01961
176, 176,  4.25238, -28.55093,  53.73096, 17, 18, 20, 16,  0.5098,  0.32941,  0.1098,  0.05098
177, 177,  4.25238, -28.55093,  53.73096, 17, 18, 20, 16,  0.5098,  0.32941,  0.1098,  0.05098
178, 178,  3.34608, -28.83956,  53.25039, 17, 18, 20, 16,  0.5098,  0.33333,  0.1098,  0.04706
179, 179,  3.22974, -25.95406,  60.57148, 17, 18, 16, 19,  0.50196,  0.44706,  0.03922,  0.01176
180, 180,  1.75229, -26.30868,  59.85069, 17, 18, 16, 0,  0.50588,  0.47059,  0.02353,  0.00
181, 181,  2.65262, -26.05038,  60.26931, 17, 18, 16, 0,  0.5098,  0.46275,  0.02745,  0.00
182, 182,  2.76521, -28.95256,  53.5212, 17, 18, 20, 16,  0.5098,  0.34902,  0.1098,  0.03137
183, 183,  2.76521, -28.95256,  53.5212, 17, 18, 20, 16,  0.5098,  0.34902,  0.1098,  0.03137
184, 184,  1.85892, -29.24119,  53.04064, 17, 18, 20, 16,  0.5098,  0.35294,  0.11373,  0.02353
185, 185,  1.75229, -26.30868,  59.85069, 17, 18, 16, 0,  0.50588,  0.47059,  0.02353,  0.00
186, 186,  0.3564, -26.6956,  59.19396, 17, 18, 20, 0,  0.50588,  0.48627,  0.00784,  0.00
187, 187,  1.25673, -26.4373,  59.61259, 17, 18, 16, 0,  0.50588,  0.48235,  0.01176,  0.00
188, 188,  1.35844, -29.39095,  52.43394, 17, 18, 20, 16,  0.50588,  0.35686,  0.12549,  0.01176
189, 189,  1.35844, -29.39095,  52.43394, 17, 18, 20, 16,  0.50588,  0.35686,  0.12549,  0.01176
190, 190,  0.45215, -29.67958,  51.95338, 17, 18, 20, 0,  0.5098,  0.36078,  0.12941,  0.00
191, 191,  0.3564, -26.6956,  59.19396, 17, 18, 20, 0,  0.50588,  0.48627,  0.00784,  0.00
192, 192, -7.6621, -24.89023,  62.73383, 17, 18, 27, 19,  0.47451,  0.36863,  0.09412,  0.06275
193, 193, -8.37266, -27.63467,  56.01704, 17, 18, 27, 20,  0.51373,  0.29412,  0.11765,  0.07451
194, 194, -9.27895, -27.34604,  56.4976, 17, 18, 27, 20,  0.51765,  0.28627,  0.12549,  0.07059
195, 195, -9.27895, -27.34604,  56.4976, 17, 18, 27, 20,  0.51765,  0.28627,  0.12549,  0.07059
196, 196, -8.56243, -24.63194,  63.15247, 17, 18, 27, 19,  0.47059,  0.36078,  0.09804,  0.07059
197, 197, -7.6621, -24.89023,  62.73383, 17, 18, 27, 19,  0.47451,  0.36863,  0.09412,  0.06275
198, 198, -6.18465, -25.24485,  62.01305, 17, 18, 27, 19,  0.48235,  0.39608,  0.07451,  0.04706
199, 199, -6.32042, -28.0363,  55.19344, 17, 18, 27, 20,  0.51373,  0.31373,  0.08627,  0.08627
200, 200, -7.22671, -27.74767,  55.674, 17, 18, 27, 20,  0.51373,  0.3098,  0.09804,  0.07843
201, 201, -7.22671, -27.74767,  55.674, 17, 18, 27, 20,  0.51373,  0.3098,  0.09804,  0.07843
202, 202, -7.08498, -24.98655,  62.43169, 17, 18, 27, 19,  0.48235,  0.38431,  0.08235,  0.05098
203, 203, -6.18465, -25.24485,  62.01305, 17, 18, 27, 19,  0.48235,  0.39608,  0.07451,  0.04706
204, 204, -4.70719, -25.59946,  61.29225, 17, 18, 27, 19,  0.4902,  0.41961,  0.05882,  0.03137
205, 205, -4.96607, -28.43793,  54.36985, 17, 18, 20, 27,  0.5098,  0.32549,  0.09804,  0.06667
206, 206, -5.87237, -28.14929,  54.8504, 17, 18, 20, 27,  0.51373,  0.31765,  0.0902,  0.07843
207, 207, -5.87237, -28.14929,  54.8504, 17, 18, 20, 27,  0.51373,  0.31765,  0.0902,  0.07843
208, 208, -5.60753, -25.34116,  61.71089, 17, 18, 27, 19,  0.4902,  0.41176,  0.06275,  0.03529
209, 209, -4.70719, -25.59946,  61.29225, 17, 18, 27, 19,  0.4902,  0.41961,  0.05882,  0.03137
210, 210, -3.22974, -25.95407,  60.57147, 17, 18, 27, 19,  0.50196,  0.44706,  0.03922,  0.01176
211, 211, -3.48003, -28.83956,  53.10432, 17, 18, 20, 27,  0.5098,  0.32941,  0.11373,  0.04706
212, 212, -4.38633, -28.55093,  53.58487, 17, 18, 20, 27,  0.5098,  0.32157,  0.1098,  0.05882
213, 213, -4.38633, -28.55093,  53.58487, 17, 18, 20, 27,  0.5098,  0.32157,  0.1098,  0.05882
214, 214, -4.13008, -25.69577,  60.9901, 17, 18, 27, 19,  0.49412,  0.43922,  0.04706,  0.01961
215, 215, -3.22974, -25.95407,  60.57147, 17, 18, 27, 19,  0.50196,  0.44706,  0.03922,  0.01176
216, 216, -1.75229, -26.30867,  59.85068, 17, 18, 27, 0,  0.50588,  0.47059,  0.02353,  0.00
217, 217, -1.85892, -29.24119,  52.72265, 17, 18, 20, 27,  0.5098,  0.34902,  0.11765,  0.02353
218, 218, -2.76521, -28.95256,  53.20321, 17, 18, 20, 27,  0.50588,  0.3451,  0.11373,  0.03529
219, 219, -2.76521, -28.95256,  53.20321, 17, 18, 20, 27,  0.50588,  0.3451,  0.11373,  0.03529
220, 220, -2.65263, -26.05038,  60.26931, 17, 18, 27, 0,  0.5098,  0.46275,  0.02745,  0.00
221, 221, -1.75229, -26.30867,  59.85068, 17, 18, 27, 0,  0.50588,  0.47059,  0.02353,  0.00
222, 222, -0.3564, -26.6956,  59.19396, 17, 18, 20, 0,  0.50588,  0.48627,  0.00784,  0.00
223, 223, -0.15385, -29.67958,  51.95846, 17, 18, 20, 0,  0.50588,  0.36863,  0.12549,  0.00
224, 224, -1.06014, -29.39095,  52.43902, 17, 18, 20, 27,  0.50588,  0.36078,  0.12157,  0.01176
225, 225, -1.06014, -29.39095,  52.43902, 17, 18, 20, 27,  0.50588,  0.36078,  0.12157,  0.01176
226, 226, -1.25674, -26.4373,  59.61259, 17, 18, 27, 0,  0.50588,  0.48235,  0.01176,  0.00
227, 227, -0.3564, -26.6956,  59.19396, 17, 18, 20, 0,  0.50588,  0.48627,  0.00784,  0.00
228, 228,  51.70634,  3.45954,  96.63623, 44, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
229, 229,  51.68925,  3.29356,  96.71455, 41, 28, 0, 0,  0.98824,  0.01176,  0.00,  0.00
230, 230,  52.0971,  3.1485,  97.2026, 41, 28, 44, 0,  0.52941,  0.45098,  0.01961,  0.00
231, 231,  51.08478,  1.31691,  96.25445, 41, 28, 0, 0,  0.80,  0.20,  0.00,  0.00
232, 232,  51.62272,  1.40849,  96.50974, 41, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
233, 233,  51.59784,  1.4664,  96.51113, 41, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
234, 234,  51.31619,  3.24261,  96.27839, 41, 28, 0, 0,  0.80,  0.20,  0.00,  0.00
235, 235,  51.68925,  3.29356,  96.71455, 41, 28, 0, 0,  0.98824,  0.01176,  0.00,  0.00
236, 236,  51.70634,  3.45954,  96.63623, 44, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
237, 237,  51.99836,  1.58071,  97.05151, 41, 28, 0, 0,  0.55294,  0.44706,  0.00,  0.00
238, 238,  51.59784,  1.4664,  96.51113, 41, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
239, 239,  51.62272,  1.40849,  96.50974, 41, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
240, 240,  51.04745, -0.25025,  96.6367, 41, 28, 0, 0,  0.90196,  0.09804,  0.00,  0.00
241, 241,  50.90258, -0.17043,  96.80258, 41, 28, 0, 0,  0.98824,  0.01176,  0.00,  0.00
