VTX, IDX, position.x, position.y, position.z, blendWeights.x, blendWeights.y, blendWeights.z, blendWeights.w, blendIndices.x, blendIndices.y, blendIndices.z, blendIndices.w, texcoord0.x, texcoord0.y
14, 2991, -0.25091,  20.87236,  0.46174,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.01304,  0.75887
15, 2993, -0.40955,  21.04367,  0.52458,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.019,  0.83481
16, 2994, -0.32001,  21.05154,  0.54912,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.019,  0.75887
17, 2991, -0.25091,  20.87236,  0.46174,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.01304,  0.75887
18, 2991, -0.25091,  20.87236,  0.46174,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.01304,  0.75887
19, 2992, -0.31232,  20.87617,  0.43213,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.01304,  0.83481
20, 2993, -0.40955,  21.04367,  0.52458,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.019,  0.83481
21, 2994, -0.32001,  21.05154,  0.54912,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.019,  0.75887
22, 2993, -0.40955,  21.04367,  0.52458,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.019,  0.83481
23, 2995, -0.52776,  21.29109,  0.54879,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.02695,  0.83481
24, 2995, -0.52776,  21.29109,  0.54879,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.02695,  0.83481
25, 2996, -0.40294,  21.29892,  0.5841,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.02695,  0.75887
26, 2994, -0.32001,  21.05154,  0.54912,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.019,  0.75887
27, 2995, -0.52776,  21.29109,  0.54879,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.02695,  0.83481
28, 2997, -0.59444,  21.47712,  0.53915,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03147,  0.83481
29, 2998, -0.44764,  21.48215,  0.58466,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03147,  0.75887
30, 2998, -0.44764,  21.48215,  0.58466,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03147,  0.75887
31, 2996, -0.40294,  21.29892,  0.5841,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.02695,  0.75887
32, 2995, -0.52776,  21.29109,  0.54879,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.02695,  0.83481
33, 2997, -0.59444,  21.47712,  0.53915,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03147,  0.83481
34, 3000, -0.63452,  21.69401,  0.50471,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03599,  0.83481
35, 2999, -0.48566,  21.69701,  0.554,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03599,  0.75887
36, 2999, -0.48566,  21.69701,  0.554,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03599,  0.75887
37, 2998, -0.44764,  21.48215,  0.58466,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03147,  0.75887
38, 2997, -0.59444,  21.47712,  0.53915,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03147,  0.83481
39, 3000, -0.63452,  21.69401,  0.50471,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03599,  0.83481
40, 3001, -0.64475,  21.86718,  0.46698,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.07868,  0.83481
41, 3002, -0.48571,  21.86831,  0.52298,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.07868,  0.75887
42, 3002, -0.48571,  21.86831,  0.52298,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.07868,  0.75887
43, 2999, -0.48566,  21.69701,  0.554,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03599,  0.75887
44, 3000, -0.63452,  21.69401,  0.50471,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.03599,  0.83481
45, 3001, -0.64475,  21.86718,  0.46698,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.07868,  0.83481
46, 3004, -0.58622,  22.17845,  0.34341,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.11238,  0.83481
47, 3003, -0.42993,  22.18036,  0.40504,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.11238,  0.75887
48, 3003, -0.42993,  22.18036,  0.40504,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.11238,  0.75887
49, 3002, -0.48571,  21.86831,  0.52298,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.07868,  0.75887
50, 3001, -0.64475,  21.86718,  0.46698,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.07868,  0.83481
51, 8984, -0.42993,  22.18036,  0.40504,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.11238,  0.75887
52, 8985, -0.58622,  22.17845,  0.34341,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.11238,  0.83481
53, 3005, -0.47528,  22.43919,  0.16341,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.09773,  0.83481
54, 3005, -0.47528,  22.43919,  0.16341,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.09773,  0.83481
55, 3006, -0.3266,  22.44005,  0.23759,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.09773,  0.75887
56, 8984, -0.42993,  22.18036,  0.40504,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.11238,  0.75887
57, 3007, -0.17934,  22.59153, -0.01263,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.11389,  0.75887
58, 8986, -0.3266,  22.44005,  0.23759,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.09773,  0.75887
59, 8987, -0.47528,  22.43919,  0.16341,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.09773,  0.83481
60, 8987, -0.47528,  22.43919,  0.16341,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.09773,  0.83481
61, 3008, -0.32459,  22.5963, -0.08223,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.11389,  0.83481
62, 3007, -0.17934,  22.59153, -0.01263,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.11389,  0.75887
63, 3009, -0.00405,  22.7259, -0.34683,  0.76667,  0.23333,  0.00,  0.00, 0, 2, 2, 2,  0.12783,  0.75887
64, 3007, -0.17934,  22.59153, -0.01263,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.11389,  0.75887
65, 3008, -0.32459,  22.5963, -0.08223,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.11389,  0.83481
66, 3008, -0.32459,  22.5963, -0.08223,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.11389,  0.83481
67, 3010, -0.13006,  22.69983, -0.39666,  0.76667,  0.23333,  0.00,  0.00, 0, 2, 2, 2,  0.12783,  0.83481
68, 3009, -0.00405,  22.7259, -0.34683,  0.76667,  0.23333,  0.00,  0.00, 0, 2, 2, 2,  0.12783,  0.75887
69, 3011, -0.02494,  22.7326, -0.59514,  0.72917,  0.27083,  0.00,  0.00, 0, 2, 2, 2,  0.31986,  0.83481
70, 3012,  0.09594,  22.74971, -0.55903,  0.71354,  0.28646,  0.00,  0.00, 0, 2, 2, 2,  0.31986,  0.75887
71, 3009, -0.00405,  22.7259, -0.34683,  0.76667,  0.23333,  0.00,  0.00, 0, 2, 2, 2,  0.12783,  0.75887
72, 3009, -0.00405,  22.7259, -0.34683,  0.76667,  0.23333,  0.00,  0.00, 0, 2, 2, 2,  0.12783,  0.75887
73, 3010, -0.13006,  22.69983, -0.39666,  0.76667,  0.23333,  0.00,  0.00, 0, 2, 2, 2,  0.12783,  0.83481
74, 3011, -0.02494,  22.7326, -0.59514,  0.72917,  0.27083,  0.00,  0.00, 0, 2, 2, 2,  0.31986,  0.83481
75, 3012,  0.09594,  22.74971, -0.55903,  0.71354,  0.28646,  0.00,  0.00, 0, 2, 2, 2,  0.31986,  0.75887
76, 3011, -0.02494,  22.7326, -0.59514,  0.72917,  0.27083,  0.00,  0.00, 0, 2, 2, 2,  0.31986,  0.83481
77, 3013,  0.08479,  22.74733, -0.8227,  0.66925,  0.33075,  0.00,  0.00, 0, 2, 2, 2,  0.34863,  0.83481
78, 3014,  0.19503,  22.74531, -0.78958,  0.66925,  0.33075,  0.00,  0.00, 0, 2, 2, 2,  0.34863,  0.75887
79, 3012,  0.09594,  22.74971, -0.55903,  0.71354,  0.28646,  0.00,  0.00, 0, 2, 2, 2,  0.31986,  0.75887
80, 3013,  0.08479,  22.74733, -0.8227,  0.66925,  0.33075,  0.00,  0.00, 0, 2, 2, 2,  0.34863,  0.83481
81, 3014,  0.19503,  22.74531, -0.78958,  0.66925,  0.33075,  0.00,  0.00, 0, 2, 2, 2,  0.34863,  0.75887
82, 3013,  0.08479,  22.74733, -0.8227,  0.66925,  0.33075,  0.00,  0.00, 0, 2, 2, 2,  0.34863,  0.83481
83, 3015,  0.18334,  22.7308, -1.02678,  0.61925,  0.38075,  0.00,  0.00, 0, 2, 2, 2,  0.38035,  0.83481
84, 3015,  0.18334,  22.7308, -1.02678,  0.61925,  0.38075,  0.00,  0.00, 0, 2, 2, 2,  0.38035,  0.83481
85, 3016,  0.27684,  22.71533, -1.00731,  0.61925,  0.38075,  0.00,  0.00, 0, 2, 2, 2,  0.38032,  0.75887
86, 3014,  0.19503,  22.74531, -0.78958,  0.66925,  0.33075,  0.00,  0.00, 0, 2, 2, 2,  0.34863,  0.75887
87, 3016,  0.27684,  22.71533, -1.00731,  0.61925,  0.38075,  0.00,  0.00, 0, 2, 2, 2,  0.38032,  0.75887
88, 3015,  0.18334,  22.7308, -1.02678,  0.61925,  0.38075,  0.00,  0.00, 0, 2, 2, 2,  0.38035,  0.83481
89, 3017,  0.28184,  22.6946, -1.26082,  0.60827,  0.36833,  0.0234,  0.00, 0, 2, 3, 3,  0.38911,  0.83133
90, 3017,  0.28184,  22.6946, -1.26082,  0.60827,  0.36833,  0.0234,  0.00, 0, 2, 3, 3,  0.38911,  0.83133
91, 3018,  0.35037,  22.67585, -1.24532,  0.60827,  0.36833,  0.0234,  0.00, 0, 2, 3, 3,  0.38911,  0.76236
92, 3016,  0.27684,  22.71533, -1.00731,  0.61925,  0.38075,  0.00,  0.00, 0, 2, 2, 2,  0.38032,  0.75887
93, 3019,  0.37613,  22.60655, -1.49663,  0.60476,  0.37008,  0.02516,  0.00, 0, 2, 3, 3,  0.42823,  0.79684
94, 3018,  0.35037,  22.67585, -1.24532,  0.60827,  0.36833,  0.0234,  0.00, 0, 2, 3, 3,  0.38911,  0.76236
95, 3017,  0.28184,  22.6946, -1.26082,  0.60827,  0.36833,  0.0234,  0.00, 0, 2, 3, 3,  0.38911,  0.83133
96, 3055, -0.10589,  20.73922,  0.31776,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05613,  0.7544
97, 3058, -0.08095,  20.64275,  0.25682,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05487,  0.7544
98, 3057, -0.11451,  20.65518,  0.22351,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05487,  0.79911
99, 3057, -0.11451,  20.65518,  0.22351,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05487,  0.79911
100, 3056, -0.15511,  20.74744,  0.28384,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05613,  0.79911
101, 3055, -0.10589,  20.73922,  0.31776,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05613,  0.7544
102, 3059, -0.16204,  20.87054,  0.46556,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05839,  0.7544
103, 3055, -0.10589,  20.73922,  0.31776,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05613,  0.7544
104, 3056, -0.15511,  20.74744,  0.28384,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05613,  0.79911
105, 3056, -0.15511,  20.74744,  0.28384,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05613,  0.79911
106, 3060, -0.22344,  20.87417,  0.43777,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05839,  0.79911
107, 3059, -0.16204,  20.87054,  0.46556,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05839,  0.7544
108, 3061, -0.31079,  21.06283,  0.53908,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.06083,  0.79911
109, 3062, -0.22165,  21.06933,  0.55961,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.06083,  0.7544
110, 3059, -0.16204,  20.87054,  0.46556,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05839,  0.7544
111, 3059, -0.16204,  20.87054,  0.46556,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05839,  0.7544
112, 3060, -0.22344,  20.87417,  0.43777,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.05839,  0.79911
113, 3061, -0.31079,  21.06283,  0.53908,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.06083,  0.79911
114, 3062, -0.22165,  21.06933,  0.55961,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.06083,  0.7544
115, 3061, -0.31079,  21.06283,  0.53908,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.06083,  0.79911
116, 3063, -0.38725,  21.2743,  0.59139,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.06408,  0.79911
117, 3063, -0.38725,  21.2743,  0.59139,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.06408,  0.79911
118, 3064, -0.26451,  21.29216,  0.61921,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.06408,  0.7544
119, 3062, -0.22165,  21.06933,  0.55961,  0.95,  0.05,  0.00,  0.00, 0, 2, 2, 2,  0.06083,  0.7544
120, 3064, -0.26451,  21.29216,  0.61921,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.06408,  0.7544
121, 3063, -0.38725,  21.2743,  0.59139,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.06408,  0.79911
122, 3065, -0.43807,  21.48152,  0.60868,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06593,  0.79911
123, 3065, -0.43807,  21.48152,  0.60868,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06593,  0.79911
124, 3066, -0.30396,  21.4929,  0.63012,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06593,  0.7544
125, 3064, -0.26451,  21.29216,  0.61921,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.06408,  0.7544
126, 3065, -0.43807,  21.48152,  0.60868,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06593,  0.79911
127, 3068, -0.45472,  21.70075,  0.58807,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06778,  0.79911
128, 3067, -0.30783,  21.70527,  0.60961,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06778,  0.7544
129, 3067, -0.30783,  21.70527,  0.60961,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06778,  0.7544
130, 3066, -0.30396,  21.4929,  0.63012,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06593,  0.7544
131, 3065, -0.43807,  21.48152,  0.60868,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06593,  0.79911
132, 3067, -0.30783,  21.70527,  0.60961,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06778,  0.7544
133, 3068, -0.45472,  21.70075,  0.58807,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06778,  0.79911
134, 3070, -0.45118,  21.88665,  0.53087,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.08526,  0.79911
135, 3070, -0.45118,  21.88665,  0.53087,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.08526,  0.79911
136, 3071, -0.30577,  21.88946,  0.55384,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.08526,  0.7544
137, 3067, -0.30783,  21.70527,  0.60961,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.06778,  0.7544
138, 3071, -0.30577,  21.88946,  0.55384,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.08526,  0.7544
139, 3070, -0.45118,  21.88665,  0.53087,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.08526,  0.79911
140, 3069, -0.41586,  22.12237,  0.42032,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.10274,  0.79911
141, 3069, -0.41586,  22.12237,  0.42032,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.10274,  0.79911
142, 3072, -0.27571,  22.12103,  0.46919,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.10274,  0.7544
143, 3071, -0.30577,  21.88946,  0.55384,  0.90,  0.10,  0.00,  0.00, 0, 2, 2, 2,  0.08526,  0.7544
144, 3072, -0.27571,  22.12103,  0.46919,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.10274,  0.7544
145, 3069, -0.41586,  22.12237,  0.42032,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.10274,  0.79911
146, 3073, -0.24076,  22.47152,  0.14554,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.22321,  0.79911
147, 3073, -0.24076,  22.47152,  0.14554,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.22321,  0.79911
148, 3074, -0.1014,  22.44088,  0.2187,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.22321,  0.7544
149, 3072, -0.27571,  22.12103,  0.46919,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.10274,  0.7544
150, 3075,  0.09131,  22.58079, -0.12078,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.24105,  0.7544
151, 3074, -0.1014,  22.44088,  0.2187,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.22321,  0.7544
152, 3073, -0.24076,  22.47152,  0.14554,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.22321,  0.79911
153, 3073, -0.24076,  22.47152,  0.14554,  0.85,  0.15,  0.00,  0.00, 0, 2, 2, 2,  0.22321,  0.79911
154, 3076, -0.04556,  22.61363, -0.18377,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.24105,  0.79911
155, 3075,  0.09131,  22.58079, -0.12078,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.24105,  0.7544
156, 3077,  0.25247,  22.60225, -0.44475,  0.73889,  0.26111,  0.00,  0.00, 0, 2, 2, 2,  0.27041,  0.7544
157, 3075,  0.09131,  22.58079, -0.12078,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.24105,  0.7544
158, 3076, -0.04556,  22.61363, -0.18377,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.24105,  0.79911
159, 3076, -0.04556,  22.61363, -0.18377,  0.80,  0.20,  0.00,  0.00, 0, 2, 2, 2,  0.24105,  0.79911
160, 3078,  0.13608,  22.64083, -0.50713,  0.73889,  0.26111,  0.00,  0.00, 0, 2, 2, 2,  0.27041,  0.79911
161, 3077,  0.25247,  22.60225, -0.44475,  0.73889,  0.26111,  0.00,  0.00, 0, 2, 2, 2,  0.27041,  0.7544
162, 3079,  0.32183,  22.59499, -0.83446,  0.68579,  0.31421,  0.00,  0.00, 0, 2, 2, 2,  0.30285,  0.79911
163, 3080,  0.42563,  22.57123, -0.77223,  0.68579,  0.31421,  0.00,  0.00, 0, 2, 2, 2,  0.30285,  0.7544
164, 3077,  0.25247,  22.60225, -0.44475,  0.73889,  0.26111,  0.00,  0.00, 0, 2, 2, 2,  0.27041,  0.7544
165, 3077,  0.25247,  22.60225, -0.44475,  0.73889,  0.26111,  0.00,  0.00, 0, 2, 2, 2,  0.27041,  0.7544
166, 3078,  0.13608,  22.64083, -0.50713,  0.73889,  0.26111,  0.00,  0.00, 0, 2, 2, 2,  0.27041,  0.79911
167, 3079,  0.32183,  22.59499, -0.83446,  0.68579,  0.31421,  0.00,  0.00, 0, 2, 2, 2,  0.30285,  0.79911
168, 3081,  0.58279,  22.45955, -1.09033,  0.64066,  0.32639,  0.03295,  0.00, 0, 2, 3, 3,  0.32929,  0.7544
169, 3080,  0.42563,  22.57123, -0.77223,  0.68579,  0.31421,  0.00,  0.00, 0, 2, 2, 2,  0.30285,  0.7544
170, 3079,  0.32183,  22.59499, -0.83446,  0.68579,  0.31421,  0.00,  0.00, 0, 2, 2, 2,  0.30285,  0.79911
171, 3079,  0.32183,  22.59499, -0.83446,  0.68579,  0.31421,  0.00,  0.00, 0, 2, 2, 2,  0.30285,  0.79911
172, 3082,  0.4851,  22.4937, -1.13465,  0.64066,  0.32639,  0.03295,  0.00, 0, 2, 3, 3,  0.32929,  0.79911
173, 3081,  0.58279,  22.45955, -1.09033,  0.64066,  0.32639,  0.03295,  0.00, 0, 2, 3, 3,  0.32929,  0.7544
174, 3083,  0.66885,  22.34308, -1.42775,  0.60748,  0.36753,  0.02499,  0.00, 0, 2, 3, 3,  0.36287,  0.79911
175, 3084,  0.73747,  22.30812, -1.38524,  0.60748,  0.36753,  0.02499,  0.00, 0, 2, 3, 3,  0.36287,  0.7544
176, 3081,  0.58279,  22.45955, -1.09033,  0.64066,  0.32639,  0.03295,  0.00, 0, 2, 3, 3,  0.32929,  0.7544
177, 3081,  0.58279,  22.45955, -1.09033,  0.64066,  0.32639,  0.03295,  0.00, 0, 2, 3, 3,  0.32929,  0.7544
178, 3082,  0.4851,  22.4937, -1.13465,  0.64066,  0.32639,  0.03295,  0.00, 0, 2, 3, 3,  0.32929,  0.79911
179, 3083,  0.66885,  22.34308, -1.42775,  0.60748,  0.36753,  0.02499,  0.00, 0, 2, 3, 3,  0.36287,  0.79911
180, 3085,  0.89089,  22.04854, -1.70432,  0.6015,  0.28129,  0.11721,  0.00, 0, 2, 3, 3,  0.40244,  0.77676
181, 3084,  0.73747,  22.30812, -1.38524,  0.60748,  0.36753,  0.02499,  0.00, 0, 2, 3, 3,  0.36287,  0.7544
182, 3083,  0.66885,  22.34308, -1.42775,  0.60748,  0.36753,  0.02499,  0.00, 0, 2, 3, 3,  0.36287,  0.79911
183, 4375, -0.73797,  18.67255,  0.31876,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.56318
184, 4378, -0.75092,  18.66871,  0.18163,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.4879
185, 4377, -0.77007,  18.82909,  0.1362,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.18799,  0.4879
186, 4377, -0.77007,  18.82909,  0.1362,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.18799,  0.4879
187, 4376, -0.75206,  18.85043,  0.28636,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.18799,  0.56318
188, 4375, -0.73797,  18.67255,  0.31876,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.56318
189, 4397, -0.70556,  18.67778,  0.45166,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.63373
190, 4375, -0.73797,  18.67255,  0.31876,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.56318
191, 4376, -0.75206,  18.85043,  0.28636,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.18799,  0.56318
192, 4396, -0.68128,  18.5015,  0.46757,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.23879,  0.63373
193, 4379, -0.71271,  18.48922,  0.362,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.23879,  0.56318
194, 4375, -0.73797,  18.67255,  0.31876,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.56318
195, 4375, -0.73797,  18.67255,  0.31876,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.56318
196, 4397, -0.70556,  18.67778,  0.45166,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.63373
197, 4396, -0.68128,  18.5015,  0.46757,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.23879,  0.63373
198, 4378, -0.75092,  18.66871,  0.18163,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.4879
199, 4375, -0.73797,  18.67255,  0.31876,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.21353,  0.56318
200, 4379, -0.71271,  18.48922,  0.362,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.23879,  0.56318
